Study,Organism,Experiment,RelativeDensity,PredictedP,n,EstimatedVariance,ObservedVariance,LowerBound,UpperBound
Daly2013,Crab,2,0.5,0.49,5,0.062,0.102,0.024,0.1136
Daly2013,Crab,2,0.7,0.69,5,0.053,0.0125,0.0125,0.144
Daly2013,Crab,2,0.9,0.9,5,0.023,0,0,0.067
Dinis2016,Beetle,1,0.1,0.78,4,0.04,0.13,0.02,0.07
Dinis2016,Beetle,1,0.25,0.915,4,0.02,0.07,0.009,0.037
Dinis2016,Beetle,1,0.4,0.956,4,0.01,0.07,0.002,0.023
Dinis2016,Beetle,1,0.5,0.97,4,0.007,0.017,0,0.017
Dinis2016,Beetle,1,0.6,0.98,4,0.005,0.015,0,0.014
Dinis2016,Beetle,1,0.75,0.99,4,0.0025,0.0016,0,0.009
Dinis2016,Beetle,1,0.9,0.996,4,0.0008,0,0,0.005
Dinis2016,Beetle,2,0.1,0.096,12,0.007,0.0048,0.00347,0.0126
Dinis2016,Beetle,2,0.25,0.024,12,0.015,0.0225,0.008,0.0248
Dinis2016,Beetle,2,0.4,0.39,12,0.02,0.04,0.01,0.032
Dinis2016,Beetle,2,0.5,0.49,12,0.021,0.03,0.01,0.0333
Dinis2016,Beetle,2,0.6,0.59,12,0.02,0.036,0.01,0.032
Dinis2016,Beetle,2,0.75,0.74,12,0.016,0.013,0.008,0.026
Dinis2016,Beetle,2,0.9,0.9,12,0.0078,0.002,0.0039,0.013
Ejdung2001,Isopod,1,0.25,0.75,10,0.0188,0.029,0.003,0.047
Ejdung2001,Isopod,1,0.5,0.9,10,0.009,0.0005,0.0017,0.026
Ejdung2001,Isopod,1,0.75,0.96,10,0.003,0.00089,0,0.01
Flinn1985,Insect,1,0.13,0.02,8,0.002,0.0016,0,0.011
Flinn1985,Insect,1,0.25,0.04,8,0.0052,0.004,0,0.017
Flinn1985,Insect,1,0.38,0.077,8,0.0089,0.0084,0.0026,0.025
Flinn1985,Insect,1,0.5,0.12,8,0.0132,0.005,0.0026,0.036
Flinn1985,Insect,1,0.63,0.19,8,0.019,0.0076,0.0042,0.05
Flinn1985,Insect,1,0.75,0.29,8,0.026,0.025,0.0042,0.06
Flinn1985,Insect,1,0.88,0.5,8,0.0312,0.007,0.0047,0.078
Hill1992,Isopod,1,0.25,0.28,10,0.02,0.06,0.0025,0.0625
Hill1992,Isopod,1,0.5,0.54,10,0.025,0.023,0.0025,0.076
Hill1992,Isopod,1,0.75,0.78,10,0.017,0.006,0.002,0.048
Johansson1992,Odonate,1,0.12,0.196,4,0.039,0.033,0,0.125
Johansson1992,Odonate,1,0.25,0.352,4,0.057,0.04,0,0.182
Johansson1992,Odonate,1,0.5,0.62,4,0.059,0.062,0,0.182
Johansson1992,Odonate,1,0.75,0.83,4,0.035,0.041,0,0.125
Johansson1992,Odonate,1,0.88,0.923,4,0.018,0.03,0,0.0625
Katz1985,Whelk,1,0.125,0.822,6,0.0244,0.033,0.0056,0.075
Katz1985,Whelk,1,0.25,0.915,6,0.013,0.0005,0,0.047
Katz1985,Whelk,1,0.5,0.97,6,0.0049,0.0005,0,0.022
Katz1985,Whelk,1,0.75,0.99,6,0.0017,0.0005,0,0.008
Katz1985,Whelk,1,0.875,0.995,6,0.0007,0.0005,0,0.005
Mattila1997,Fish,1,0.1,0.214,50,0.0034,0.0049,0.0032,0.0095
Mattila1997,Fish,1,0.5,0.71,50,0.004,0.0036,0.001,0.0094
Mattila1997,Fish,1,0.9,0.957,50,0.0008,0.0004,0.00008,0.0025
Murdoch1969,Whelk,1,0.165,0.182,30,0.03,0.076,0.008,0.09
Murdoch1969,Whelk,1,0.33,0.357,30,0.046,0.099,0.008,0.12
Murdoch1969,Whelk,1,0.5,0.53,30,0.05,0.136,0.008,0.13
Murdoch1969,Whelk,1,0.66,0.686,30,0.043,0.017,0.008,0.112
Murdoch1969,Whelk,1,0.835,0.85,30,0.025,0.0053,0,0.072
Murdoch1969,Whelk,2,0.165,0.64,5,0.046,0.144,0.008,0.12
Murdoch1969,Whelk,2,0.37,0.84,5,0.027,0.0125,0.008,0.072
Murdoch1969,Whelk,2,0.5,0.9,5,0.018,0.03,0,0.068
Murdoch1969,Whelk,2,0.58,0.92,5,0.0137,0.01,0,0.04
Murdoch1969,Whelk,2,0.65,0.94,5,0.01,0.018,0,0.032
Murdoch1973,Ladybird,1,0.1,0.064,26,0.00225,0.0065,0.0004,0.0082
Murdoch1973,Ladybird,1,0.25,0.17,30,0.0046,0.0286,0.0007,0.012
Murdoch1973,Ladybird,1,0.5,0.38,28,0.0083,0.0416,0.001,0.022
Murdoch1973,Ladybird,1,0.75,0.648,32,0.007,0.0352,0.001,0.018
Murdoch1973,Ladybird,1,0.9,0.846,36,0.0036,0.0027,0.0005,0.009
Murdoch1973,Ladybird,2,0.1,0.0717,43,0.0015,0.0003,0.00031,0.004
Murdoch1973,Ladybird,2,0.25,0.188,38,0.004,0.0017,0.00067,0.01
Murdoch1973,Ladybird,2,0.5,0.41,43,0.0056,0.00568,0.0007,0.016
Murdoch1973,Ladybird,2,0.75,0.676,38,0.0058,0.0165,0.00094,0.015
Murdoch1973,Ladybird,2,0.9,0.862,47,0.0025,0.0018,0.00044,0.0066
Murdoch1973,Ladybird,3,0.1,0.072,28,0.0024,0.00114,0.00034,0.0065
Murdoch1973,Ladybird,3,0.25,0.188,26,0.0058,0.00567,0.0008,0.015
Murdoch1973,Ladybird,3,0.5,0.41,38,0.0064,0.00975,0.001,0.016
Murdoch1973,Ladybird,3,0.75,0.676,39,0.0056,0.0069,0.0009,0.014
Murdoch1973,Ladybird,3,0.9,0.862,44,0.0027,0.00145,0.0004,0.007
Murdoch1975,Fish,1,0.2,0.133,20,0.0058,0.001,0.0019,0.012
Murdoch1975,Fish,1,0.4,0.29,20,0.01,0.00925,0.00341,0.0211
Murdoch1975,Fish,1,0.6,0.48,20,0.0125,0.0275,0.0041,0.0252
Murdoch1975,Fish,1,0.8,0.71,20,0.01,0.0176,0.00341,0.021
Sherratt1989,Odonate,1,0.2,0.143,30,0.0041,0.0048,0.00063,0.0105
Sherratt1989,Odonate,1,0.5,0.4,30,0.008,0.00737,0.0013,0.02
Sherratt1989,Odonate,1,0.8,0.727,30,0.0066,0.003,0.0011,0.016
Sherratt1989,Odonate,2,0.2,0.101,30,0.003,0.0024,0.00063,0.008
Sherratt1989,Odonate,2,0.5,0.31,30,0.007,0.007,0.0012,0.0181
Sherratt1989,Odonate,2,0.8,0.642,30,0.0077,0.031,0.0012,0.02
Sherratt1989,Odonate,3,0.2,0.077,30,0.0024,0.004,0.00033,0.0064
Sherratt1989,Odonate,3,0.5,0.25,30,0.00625,0.016,0.0011,0.016
Sherratt1989,Odonate,3,0.8,0.57,30,0.0082,0.004,0.0015,0.021
Vantornhout2006,Mite,1,0.33,0.11,11,0.0089,0.008,0.0039,0.016
Vantornhout2006,Mite,1,0.5,0.2,12,0.0133,0.0045,0.0063,0.023
Vantornhout2006,Mite,1,0.66,0.327,9,0.0244,0.021,0.012,0.0414
Vantornhout2006,Mite,2,0.33,0.214,13,0.013,0.022,0.0062,0.022
Vantornhout2006,Mite,2,0.5,0.356,9,0.025,0.0205,0.0125,0.043
Vantornhout2006,Mite,2,0.66,0.517,10,0.025,0.015,0.012,0.042
Vantornhout2006,Mite,3,0.33,0.72,4,0.05,0.0405,0.0257,0.082
Vantornhout2006,Mite,3,0.5,0.84,3,0.045,0.0125,0.022,0.083
Vantornhout2006,Mite,3,0.66,0.91,5,0.016,0.0245,0.007,0.0315
Vantornhout2006,Mite,4,0.33,0.3,4,0.052,0.025,0.025,0.087
Vantornhout2006,Mite,4,0.5,0.466,5,0.05,0.06,0.025,0.082
Vantornhout2006,Mite,4,0.66,0.623,5,0.0467,0.032,0.023,0.0775
